Iteração;Valor
-1;276457
0;29559
1;31164
2;32145
3;34144
4;36139
5;38112
6;39989
7;41525
8;42456
9;44425
10;46163
11;47092
12;49077
13;50766
14;51681
15;53198
16;54108
17;55040
18;55925
19;57896
20;59376
21;60214
22;62154
23;63100
24;63923
25;64774
26;65594
27;67566
28;69432
29;70241
30;72157
31;72962
32;74925
33;75729
34;77674
35;78466
36;79230
37;80098
38;80817
39;82670
40;84299
41;84971
42;85611
43;87217
44;87821
45;89659
46;90229
47;91992
48;92534
49;94445
50;95927
51;96466
52;98423
53;98950
54;99971
55;100437
56;102174
57;102889
58;103271
59;104451
60;104822
61;105192
62;105557
63;105888
64;107816
65;108140
66;109207
67;109530
68;110192
69;110491
70;112273
71;112566
72;114349
73;114635
74;116244
75;116524
76;117776
77;118056
78;118346
79;118624
80;118896
81;119146
82;120774
83;121007
84;121217
85;122790
86;122978
87;123311
88;123461
89;123602
90;123877
91;124004
92;125620
93;125725
94;126467
95;126567
96;128501
97;128783
98;128881
99;129087
100;129175
101;130770
102;130784
103;132665
104;133960
105;133993
106;133999
107;135701
108;135701
109;137356
110;137467
111;137467
112;137815
113;137814
114;137949
115;137948
116;138059
117;138058
118;138142
119;138141
120;139979
121;140000
122;140000
123;140884
124;140883
125;140946
126;140944
127;142806
128;143036
129;143036
-2;10
