Iteração;Valor
-1;110625
0;10242
1;11572
2;12483
3;14481
4;16466
5;18288
6;19183
7;21143
8;23063
9;24821
10;25699
11;27661
12;29222
13;30085
14;31387
15;32199
16;34142
17;35225
18;36015
19;37643
20;38415
21;40226
22;40936
23;42223
24;42899
25;44673
26;45291
27;47105
28;47692
29;49388
30;49842
31;51044
32;51436
33;53110
34;53500
35;53864
36;55702
37;56045
38;57066
39;57387
40;57890
41;58166
42;58527
43;58750
44;58945
45;60410
46;60534
47;62115
48;62114
49;64018
50;64898
51;64897
52;65462
53;65461
54;65545
55;65549
56;65548
57;67440
58;68005
59;68001
60;69023
61;69017
62;69463
63;69457
64;71307
65;71306
66;71316
67;71314
68;72102
69;72101
70;72395
-2;10
