Iteração;Valor
-1;54503
0;6191
1;7631
2;8469
3;10443
4;12340
5;13137
6;15081
7;15854
8;17741
9;18989
10;19635
11;21513
12;22027
13;23847
14;24304
15;25933
16;26410
17;26822
18;27592
19;27999
20;29594
21;29864
22;31762
23;32020
24;32241
25;32389
26;34199
27;34341
28;34453
29;34452
30;36293
31;36376
32;36367
33;36809
34;36808
35;37453
36;37442
37;38232
38;38434
39;38429
40;39591
41;39580
42;39611
43;39600
44;40388
45;40367
46;40618
47;40616
48;41240
49;41229
50;41466
-2;10
